,Temperature,WindSpeed,Pa,Humidity,Rain
0,13,1,869,76,sun
1,-7,11,976,74,sun
2,-8,21,779,28,rain
3,5,18,754,70,rain
4,39,27,970,30,sun
5,19,10,965,23,sun
6,9,21,976,75,sun
7,0,23,916,60,sun
8,0,4,921,13,sun
9,21,13,807,94,rain
10,8,20,978,51,sun
11,38,3,928,14,sun
12,6,10,877,5,sun
13,29,28,1025,88,rain
14,-3,4,801,47,rain
15,0,5,999,70,sun
16,0,24,760,96,rain
17,11,1,792,85,rain
18,24,21,794,20,rain
19,2,12,881,0,sun
20,22,1,885,98,rain
21,10,0,789,30,rain
22,8,9,1005,14,sun
23,0,26,969,32,sun
24,-7,13,872,48,sun
25,13,29,954,87,rain
26,19,15,834,70,rain
27,36,24,865,51,rain
28,22,18,903,47,sun
29,35,24,763,57,rain
30,5,21,864,38,sun
31,29,10,888,51,sun
32,25,25,871,89,rain
33,31,15,980,4,sun
34,1,0,1010,34,sun
35,-6,9,1028,58,sun
36,-3,17,1012,71,sun
37,-3,5,1002,94,sun
38,26,20,890,87,rain
39,-8,25,984,50,sun
40,-3,0,869,70,sun
41,23,0,875,57,sun
42,27,27,890,23,sun
43,20,19,977,49,sun
44,37,8,900,84,rain
45,26,6,909,90,rain
46,32,7,782,20,rain
47,-8,4,915,34,sun
48,-2,13,860,39,sun
49,-1,1,799,24,rain
50,11,16,880,34,sun
51,17,14,1005,80,sun
52,-7,11,885,99,rain
53,29,3,980,27,sun
54,4,13,934,53,sun
55,30,21,945,41,rain
56,14,5,887,10,sun
57,-6,3,874,93,rain
58,36,16,907,8,sun
59,23,22,1021,80,sun
60,5,15,794,84,rain
61,39,23,982,31,sun
62,23,6,993,91,sun
63,29,14,761,68,rain
64,21,17,935,99,rain
65,11,26,978,81,rain
66,35,21,1019,67,rain
67,-1,13,771,42,rain
68,24,14,795,28,rain
69,25,17,1028,53,sun
70,-7,20,765,88,rain
71,-2,10,775,65,rain
72,-9,28,971,73,rain
73,-8,0,967,14,sun
74,19,23,766,17,rain
75,12,2,912,53,sun
76,0,11,806,93,rain
77,31,4,880,11,sun
78,-1,2,926,8,sun
79,39,15,823,42,rain
80,-7,10,1012,71,sun
81,35,21,994,75,rain
82,-9,18,873,50,sun
83,-3,11,1020,50,sun
84,2,18,873,97,rain
85,7,21,954,13,sun
86,-8,25,808,19,rain
87,31,25,1020,38,sun
88,13,2,1005,98,sun
89,22,2,842,57,rain
90,-6,24,765,88,rain
91,25,9,816,2,rain
92,5,27,953,96,rain
93,26,22,805,28,rain
94,26,11,909,60,sun
95,1,4,838,75,rain
96,-2,28,997,97,rain
97,35,17,761,97,rain
98,0,5,1004,62,sun
99,-7,10,808,81,rain
100,37,8,783,55,rain
101,39,14,832,96,rain
102,29,25,760,93,rain
103,9,27,836,95,rain
104,34,29,965,88,rain
105,5,24,811,43,rain
106,14,4,861,44,sun
107,0,28,832,99,rain
108,26,9,1018,33,sun
109,24,2,843,93,rain
110,17,22,861,29,sun
111,-2,2,986,18,sun
112,33,4,900,47,rain
113,20,10,994,8,sun
114,0,17,844,84,rain
115,27,8,986,46,sun
116,1,9,990,1,sun
117,28,6,967,79,sun
118,37,15,835,66,rain
119,1,19,924,85,rain
120,-5,26,1021,48,sun
121,-1,22,899,99,rain
122,23,21,898,95,rain
123,14,9,971,87,sun
124,-4,15,762,50,rain
125,6,25,870,69,rain
126,37,11,808,61,rain
127,36,12,880,96,rain
128,16,14,1029,70,sun
129,29,12,752,70,rain
130,12,0,809,62,rain
131,9,25,974,59,sun
132,22,16,817,92,rain
133,12,24,1025,29,sun
134,25,9,785,88,rain
135,18,15,903,75,sun
136,12,25,946,0,sun
137,34,11,952,99,rain
138,16,28,953,23,sun
139,-3,22,774,36,rain
140,21,10,979,66,sun
141,6,12,792,67,rain
142,26,29,894,82,rain
143,14,26,794,33,rain
144,15,22,782,99,rain
145,7,19,961,12,sun
146,31,14,834,1,rain
147,12,1,793,63,rain
148,29,23,934,44,sun
149,26,2,751,12,rain
150,25,18,991,89,sun
151,-4,24,927,59,sun
152,32,21,801,0,rain
153,8,0,943,26,sun
154,24,10,877,55,sun
155,7,1,809,30,rain
156,31,21,796,22,rain
157,12,23,848,61,rain
158,36,18,750,50,rain
159,0,3,907,43,sun
160,22,10,835,74,rain
161,0,3,1002,34,sun
162,21,7,922,21,sun
163,28,8,884,95,rain
164,36,11,810,15,rain
165,8,29,982,51,sun
166,2,23,791,89,rain
167,21,5,860,86,rain
168,-6,4,936,8,sun
169,22,22,836,45,rain
170,-3,3,1027,90,sun
171,0,18,842,68,rain
172,13,12,962,97,sun
173,10,7,752,38,rain
174,29,14,1023,93,sun
175,-5,19,775,76,rain
176,9,24,854,69,sun
177,27,6,1026,60,sun
178,15,27,1009,69,rain
179,7,9,985,19,sun
180,2,14,986,59,sun
181,29,2,999,11,sun
182,-2,4,877,2,sun
183,11,21,788,37,rain
184,9,0,944,84,rain
185,-2,1,916,2,sun
186,30,22,1012,57,rain
187,29,0,760,54,rain
188,-3,20,985,85,sun
189,27,22,851,10,sun
190,36,0,1026,70,rain
191,24,13,879,95,rain
192,25,12,806,18,rain
193,14,22,844,45,rain
194,-1,7,856,73,sun
195,-8,14,956,37,sun
196,9,18,988,11,sun
197,22,6,843,45,rain
198,11,7,889,6,sun
199,23,3,956,46,sun
200,30,27,1022,9,sun
201,32,18,924,9,sun
202,34,9,848,45,rain
203,3,8,952,89,sun
204,36,17,846,17,rain
205,33,22,1023,53,rain
206,29,19,973,92,sun
207,39,17,849,14,rain
208,22,8,799,36,rain
209,-6,4,993,74,sun
210,25,28,879,17,sun
211,34,9,876,97,rain
212,29,3,760,51,rain
213,10,22,838,77,rain
214,22,22,947,60,sun
215,-6,8,918,81,rain
216,0,29,791,17,rain
217,25,28,863,13,sun
218,-7,20,979,80,sun
219,29,22,785,47,rain
220,1,9,840,27,rain
221,20,16,876,95,rain
222,5,2,859,98,rain
223,-3,4,968,32,sun
224,30,16,896,84,rain
225,5,26,861,98,rain
226,21,18,1021,81,sun
227,37,3,920,26,sun
228,31,15,963,5,sun
229,3,12,923,50,sun
230,19,27,944,92,rain
231,7,18,850,42,rain
232,32,16,926,71,rain
233,23,28,838,11,rain
234,-2,25,785,63,rain
235,10,12,917,0,sun
236,5,17,936,79,sun
237,11,15,1003,87,sun
238,6,8,752,6,rain
239,26,23,889,77,sun
240,4,20,937,62,sun
241,28,7,902,48,sun
242,27,6,936,6,sun
243,16,3,877,0,sun
244,17,17,956,15,sun
245,12,3,789,96,rain
246,21,25,760,70,rain
247,37,28,804,57,rain
248,18,6,802,74,rain
249,-4,21,1009,72,sun
250,37,6,801,52,rain
251,-7,11,969,85,sun
252,-5,21,816,36,rain
253,0,23,841,5,rain
254,26,12,761,65,rain
255,3,23,816,57,rain
256,30,6,875,61,rain
257,10,8,912,68,sun
258,8,7,904,96,rain
259,-5,16,829,76,rain
260,19,12,762,55,rain
261,-6,18,988,43,sun
262,36,22,793,76,rain
263,36,25,900,29,sun
264,-5,24,837,86,rain
265,-8,16,753,48,rain
266,22,29,1001,6,sun
267,28,18,990,4,sun
268,-2,9,772,26,rain
269,30,11,781,72,rain
270,-1,15,968,71,sun
271,10,27,910,77,rain
272,4,14,789,25,rain
273,2,25,983,34,sun
274,16,24,849,42,rain
275,5,4,933,80,rain
276,13,6,789,45,rain
277,15,20,798,61,rain
278,25,29,824,71,rain
279,-5,14,774,34,rain
280,-2,13,775,90,rain
281,31,20,846,63,rain
282,32,27,1015,6,sun
283,14,5,963,27,sun
284,11,20,813,70,rain
285,20,2,819,87,rain
286,1,8,989,97,sun
287,-9,11,1001,47,sun
288,8,10,942,71,sun
289,22,3,829,47,rain
290,5,2,822,74,rain
291,2,14,750,21,rain
292,-5,16,771,44,rain
293,21,23,953,18,sun
294,0,22,1027,24,sun
295,31,12,969,39,sun
296,12,8,893,51,sun
297,9,20,1026,35,sun
298,5,28,994,54,sun
299,26,5,799,20,rain
300,0,19,908,14,sun
301,-9,27,801,53,rain
302,-8,17,772,86,rain
303,27,25,906,81,rain
304,14,9,760,16,rain
305,28,13,979,70,sun
306,8,16,931,65,sun
307,12,13,911,24,sun
308,0,18,888,4,sun
309,12,0,1004,21,sun
310,-5,25,840,99,rain
311,-5,15,888,59,sun
312,0,22,845,80,rain
313,16,11,933,77,sun
314,36,8,808,77,rain
315,8,12,836,9,rain
316,3,16,913,42,sun
317,37,16,774,35,rain
318,23,1,953,50,sun
319,10,1,861,87,rain
320,-3,26,991,60,rain
321,38,23,923,12,sun
322,4,8,933,34,sun
323,18,2,900,68,sun
324,0,28,795,9,rain
325,-9,16,935,85,rain
326,11,15,980,99,sun
327,1,17,754,22,rain
328,39,28,830,99,rain
329,28,5,879,14,sun
330,-5,28,840,71,rain
331,5,24,897,37,sun
332,13,6,871,31,sun
333,25,26,757,22,rain
334,1,24,852,36,sun
335,-9,20,833,71,rain
336,39,27,750,36,rain
337,21,28,796,53,rain
338,17,14,772,77,rain
339,10,9,892,90,rain
340,21,25,975,78,rain
341,30,25,908,44,rain
342,13,27,766,91,rain
343,25,14,788,91,rain
344,7,24,793,42,rain
345,33,24,822,26,rain
346,-4,22,873,41,sun
347,7,5,759,45,rain
348,22,17,1001,47,sun
349,10,4,862,31,sun
350,25,23,842,2,rain
351,22,22,920,64,sun
352,16,16,822,67,rain
353,34,8,846,48,rain
354,-8,15,985,9,sun
355,22,23,786,83,rain
356,21,11,753,64,rain
357,32,10,1002,53,rain
358,29,21,777,62,rain
359,-5,23,766,15,rain
360,35,29,953,24,sun
361,-8,20,917,24,sun
362,-1,2,770,61,rain
363,22,9,817,19,rain
364,25,26,943,53,sun
365,29,23,752,57,rain
366,13,15,923,4,sun
367,37,16,839,46,rain
368,-2,29,985,18,sun
369,17,13,825,21,rain
370,24,10,1005,60,sun
371,27,1,1009,33,sun
372,17,29,967,46,sun
373,8,24,798,67,rain
374,34,3,918,5,sun
375,36,5,877,64,rain
376,39,12,894,7,sun
377,-3,11,865,25,sun
378,26,22,948,77,sun
379,5,14,851,66,sun
380,-7,7,904,11,sun
381,35,24,826,25,rain
382,4,23,786,74,rain
383,15,23,888,47,sun
384,12,26,961,19,sun
385,18,14,984,91,sun
386,0,19,759,50,rain
387,6,27,1020,39,sun
388,2,5,999,40,sun
389,37,21,809,13,rain
390,28,11,780,13,rain
391,-1,7,853,39,sun
392,16,22,982,79,sun
393,11,24,1016,56,sun
394,35,16,802,80,rain
395,-8,14,760,34,rain
396,16,14,799,31,rain
397,23,6,874,15,sun
398,31,5,768,67,rain
399,21,23,959,34,sun
400,4,14,971,58,sun
401,0,10,816,17,rain
402,25,3,862,20,sun
403,-8,21,974,75,sun
404,27,6,868,26,sun
405,29,10,960,50,sun
406,18,3,900,15,sun
407,-4,24,852,46,sun
408,31,22,834,49,rain
409,10,18,941,88,rain
410,30,14,917,3,sun
411,21,26,1010,8,sun
412,-2,6,786,64,rain
413,35,1,1010,70,rain
414,22,13,812,47,rain
415,26,2,980,78,sun
416,36,12,859,52,rain
417,26,19,911,49,sun
418,27,20,982,95,sun
419,-3,25,764,2,rain
420,21,11,893,41,sun
421,1,11,921,99,rain
422,29,5,985,95,sun
423,33,29,794,31,rain
424,25,0,862,20,sun
425,33,27,821,57,rain
426,26,2,959,82,sun
427,35,9,890,60,rain
428,4,7,770,90,rain
429,27,4,810,86,rain
430,2,7,934,54,sun
431,21,18,997,40,sun
432,30,26,971,29,sun
433,10,19,857,96,rain
434,38,4,942,28,sun
435,15,24,844,79,rain
436,11,14,957,70,sun
437,19,29,920,22,sun
438,24,10,1018,83,sun
439,-8,5,1013,50,sun
440,22,29,874,18,sun
441,7,22,828,6,rain
442,22,14,969,67,sun
443,37,21,968,54,rain
444,39,22,845,51,rain
445,20,12,866,58,sun
446,4,2,1007,55,sun
447,13,14,908,96,rain
448,14,14,941,12,sun
449,-4,7,907,32,sun
450,-6,23,1019,99,sun
451,29,18,770,67,rain
452,36,25,852,48,rain
453,39,16,1025,49,rain
454,9,10,783,22,rain
455,25,27,756,43,rain
456,22,23,951,44,sun
457,30,16,795,75,rain
458,3,2,851,17,sun
459,5,19,798,91,rain
460,14,7,771,11,rain
461,17,19,977,76,sun
462,21,18,959,10,sun
463,18,25,820,21,rain
464,13,3,997,56,sun
465,-1,5,755,9,rain
466,14,0,754,36,rain
467,20,20,973,24,sun
468,8,15,864,3,sun
469,32,15,916,62,rain
470,26,13,878,30,sun
471,9,2,804,61,rain
472,1,14,772,9,rain
473,18,24,873,75,sun
474,7,16,864,53,sun
475,26,22,801,93,rain
476,-3,5,958,66,sun
477,0,24,756,88,rain
478,2,20,950,20,sun
479,-6,24,901,84,rain
480,33,12,868,39,sun
481,33,27,821,3,rain
482,12,27,830,10,rain
483,36,27,1019,19,sun
484,4,0,934,83,rain
485,24,13,965,92,sun
486,8,24,820,43,rain
487,10,9,848,16,rain
488,-7,20,985,90,sun
489,30,16,1028,65,rain
490,3,22,946,36,sun
491,34,29,875,42,rain
492,19,17,965,69,sun
493,13,16,980,24,sun
494,7,16,805,95,rain
495,-4,1,826,0,rain
496,27,27,976,78,rain
497,7,16,819,49,rain
498,18,19,800,42,rain
499,14,17,956,39,sun
500,18,21,875,77,sun
501,0,4,899,72,sun
502,33,26,979,35,sun
503,17,21,966,17,sun
504,2,27,812,10,rain
505,32,15,779,88,rain
506,8,26,752,5,rain
507,29,4,945,8,sun
508,25,0,940,41,sun
509,13,7,945,58,sun
510,1,6,1022,28,sun
511,-1,3,990,85,sun
512,36,1,776,20,rain
513,5,5,951,6,sun
514,24,18,942,96,rain
515,34,0,835,84,rain
516,-7,13,1015,56,sun
517,20,3,782,40,rain
518,28,12,929,9,sun
519,-1,0,790,64,rain
520,6,16,954,65,sun
521,32,18,1024,24,sun
522,39,16,985,84,rain
523,30,23,995,54,rain
524,36,11,1012,70,rain
525,11,25,1018,15,sun
526,-6,21,1023,73,sun
527,31,3,875,34,sun
528,31,24,858,39,sun
529,3,27,784,38,rain
530,20,6,1023,59,sun
531,9,13,896,79,sun
532,12,20,795,54,rain
533,30,24,827,68,rain
534,24,29,831,28,rain
535,21,11,764,88,rain
536,33,25,824,17,rain
537,3,18,1002,7,sun
538,28,17,862,79,sun
539,-6,20,941,73,sun
540,24,7,929,72,sun
541,15,22,851,8,sun
542,15,23,856,41,sun
543,38,11,1026,83,rain
544,5,14,809,5,rain
545,1,17,797,8,rain
546,32,18,941,86,rain
547,19,15,826,53,rain
548,0,7,858,86,rain
549,19,18,819,62,rain
550,3,15,782,60,rain
551,38,8,789,17,rain
552,29,4,849,59,rain
553,-5,25,907,32,sun
554,35,27,760,19,rain
555,16,2,904,6,sun
556,32,17,812,33,rain
557,27,23,789,5,rain
558,-5,13,753,59,rain
559,27,29,787,77,rain
560,17,13,777,69,rain
561,23,6,827,73,rain
562,29,2,799,4,rain
563,-3,8,858,17,sun
564,29,15,945,20,sun
565,31,14,960,78,rain
566,35,7,891,81,rain
567,14,15,912,2,sun
568,31,5,861,68,rain
569,1,4,1020,73,sun
570,-6,24,766,12,rain
571,20,14,894,3,sun
572,9,20,840,11,rain
573,31,7,800,50,rain
574,23,17,1025,30,sun
575,4,26,927,30,sun
576,-1,9,769,44,rain
577,8,21,961,62,sun
578,19,3,956,58,sun
579,37,20,1006,86,rain
580,7,29,881,6,sun
581,5,5,945,16,sun
582,14,29,904,99,rain
583,0,19,872,19,sun
584,8,19,770,80,rain
585,27,18,886,47,sun
586,0,13,759,16,rain
587,15,25,905,7,sun
588,9,0,783,53,rain
589,27,12,1011,88,sun
590,31,18,836,24,rain
591,-2,0,780,94,rain
592,2,4,819,81,rain
593,9,24,866,59,sun
594,-3,19,772,82,rain
595,0,9,960,29,sun
596,30,8,782,86,rain
597,36,20,925,79,rain
598,31,12,855,56,rain
599,4,23,988,54,sun
600,0,2,947,57,sun
601,-8,25,997,62,rain
602,23,11,929,95,rain
603,16,17,817,56,rain
604,17,4,906,78,sun
605,21,17,1001,84,sun
606,25,2,1023,45,sun
607,30,25,870,20,sun
608,7,1,778,96,rain
609,24,13,807,64,rain
610,-8,11,853,5,sun
611,0,19,780,88,rain
612,10,14,996,85,sun
613,29,6,1027,76,sun
614,-4,13,884,9,sun
615,22,14,853,48,sun
616,7,9,951,82,sun
617,-6,8,920,72,sun
618,15,20,938,95,rain
619,16,14,832,56,rain
620,24,6,918,30,sun
621,36,11,945,79,rain
622,37,7,920,97,rain
623,35,8,773,74,rain
624,5,18,944,39,sun
625,28,18,762,19,rain
626,12,10,789,38,rain
627,36,2,975,91,rain
628,25,21,893,28,sun
629,29,16,784,40,rain
630,26,5,750,11,rain
631,26,18,840,79,rain
632,35,13,920,46,rain
633,-2,29,978,1,sun
634,25,6,954,32,sun
635,34,27,929,89,rain
636,5,26,921,6,sun
637,11,0,931,38,sun
638,28,19,915,99,rain
639,2,6,811,84,rain
640,14,14,908,12,sun
641,8,3,805,19,rain
642,3,24,904,97,rain
643,35,7,754,72,rain
644,25,10,882,3,sun
645,1,27,954,36,sun
646,3,18,754,48,rain
647,13,10,818,9,rain
648,15,7,862,25,sun
649,-7,15,1028,8,sun
650,16,20,924,10,sun
651,26,14,960,55,sun
652,22,12,987,20,sun
653,34,8,1004,27,sun
654,36,11,911,71,rain
655,-5,22,799,70,rain
656,-2,11,871,16,sun
657,28,0,872,10,sun
658,11,4,753,29,rain
659,25,17,947,45,sun
660,-4,4,867,0,sun
661,37,25,938,14,sun
662,9,2,765,80,rain
663,-4,6,930,82,rain
664,38,17,923,3,sun
665,29,28,953,79,rain
666,12,19,838,71,rain
667,-3,27,753,41,rain
668,22,18,852,96,rain
669,24,23,1014,22,sun
670,-4,27,774,97,rain
671,-9,28,837,86,rain
672,35,15,923,63,rain
673,-5,10,797,48,rain
674,-2,25,793,93,rain
675,39,7,862,91,rain
676,14,23,1001,8,sun
677,18,2,821,17,rain
678,6,21,768,5,rain
679,20,2,787,21,rain
680,-6,18,787,50,rain
681,4,18,846,1,rain
682,26,21,963,0,sun
683,18,24,1001,0,sun
684,39,14,935,77,rain
685,24,4,922,49,sun
686,25,0,1017,68,sun
687,28,17,851,39,sun
688,24,24,897,17,sun
689,31,6,863,23,sun
690,5,9,828,90,rain
691,18,6,939,32,sun
692,31,5,892,68,rain
693,20,15,797,78,rain
694,25,13,938,25,sun
695,10,18,873,44,sun
696,3,14,754,0,rain
697,21,27,989,1,sun
698,32,26,823,68,rain
699,17,0,783,80,rain
700,38,2,967,6,sun
701,27,0,933,40,sun
702,0,3,848,60,rain
703,27,15,881,4,sun
704,15,28,986,76,rain
705,35,26,923,65,rain
706,-3,2,814,51,rain
707,6,19,1015,9,sun
708,-2,1,778,59,rain
709,20,24,867,39,sun
710,11,19,868,32,sun
711,18,27,930,83,rain
712,2,27,915,37,sun
713,27,16,798,82,rain
714,4,19,953,52,sun
715,36,27,859,0,sun
716,-4,26,980,66,rain
717,38,15,1001,32,sun
718,3,28,868,24,sun
719,33,14,888,73,rain
720,0,6,841,16,rain
721,16,2,901,66,sun
722,33,20,874,59,rain
723,37,3,777,73,rain
724,33,2,831,92,rain
725,34,26,980,16,sun
726,26,17,913,76,sun
727,37,21,791,67,rain
728,4,11,989,25,sun
729,-7,4,789,58,rain
730,-1,20,916,7,sun
731,23,0,963,48,sun
732,6,4,853,54,sun
733,23,0,943,85,rain
734,34,12,1020,91,rain
735,11,12,910,73,sun
736,21,19,909,19,sun
737,18,25,793,90,rain
738,34,13,1029,2,sun
739,8,23,1015,75,sun
740,38,11,976,73,rain
741,0,2,898,68,sun
742,24,28,984,49,sun
743,0,9,774,25,rain
744,-6,5,1027,90,sun
745,-8,15,930,67,sun
746,38,13,862,8,sun
747,33,6,888,67,rain
748,-5,11,874,33,sun
749,-5,4,828,34,rain
750,6,7,975,6,sun
751,9,10,797,39,rain
752,2,23,831,44,rain
753,22,23,964,34,sun
754,0,29,852,49,sun
755,35,2,1019,44,rain
756,8,5,951,60,sun
757,19,4,954,4,sun
758,0,11,1005,58,sun
759,26,20,906,39,sun
760,-7,16,934,31,sun
761,30,4,790,76,rain
762,-1,21,834,37,rain
763,16,16,788,29,rain
764,0,1,830,12,rain
765,-2,3,982,80,sun
766,10,5,820,0,rain
767,6,11,881,36,sun
768,14,28,1015,10,sun
769,15,2,872,49,sun
770,28,2,865,54,sun
771,21,22,1000,41,sun
772,-7,3,876,53,sun
773,29,28,976,53,sun
774,10,19,893,91,rain
775,2,25,831,3,rain
776,31,21,1017,80,rain
777,26,7,853,24,sun
778,17,14,762,51,rain
779,12,29,903,69,rain
780,6,23,858,27,sun
781,28,24,822,55,rain
782,30,1,857,69,rain
783,25,18,1003,29,sun
784,22,21,795,45,rain
785,12,13,873,71,sun
786,32,6,926,51,rain
787,16,7,849,23,rain
788,-6,11,1018,79,sun
789,-3,4,873,26,sun
790,27,26,872,56,sun
791,8,21,756,85,rain
792,-2,24,789,10,rain
793,5,26,953,33,sun
794,32,26,895,95,rain
795,-1,0,963,69,sun
796,0,2,852,55,sun
797,9,24,958,57,sun
798,12,9,831,11,rain
799,-6,7,778,49,rain
800,32,5,839,29,rain
801,9,12,850,38,rain
802,33,10,1008,43,rain
803,14,7,947,46,sun
804,-6,4,872,46,sun
805,23,7,990,93,sun
806,-9,14,840,66,rain
807,-9,20,834,72,rain
808,-9,6,812,43,rain
809,12,9,860,81,rain
810,31,5,819,59,rain
811,16,8,750,35,rain
812,-1,26,784,67,rain
813,24,0,936,13,sun
814,17,27,894,37,sun
815,16,9,896,2,sun
816,0,18,913,89,rain
817,-9,29,993,31,sun
818,29,4,989,29,sun
819,2,10,1025,95,sun
820,30,13,969,9,sun
821,39,2,1005,88,rain
822,7,0,757,97,rain
823,12,4,929,73,sun
824,0,4,793,51,rain
